image,question
test_0224,What is involvedd in pathogenesis of two main types of diabetes mellitus?
test_0700,What does this image show?
test_0974,What does this image show?
test_0268,What is the color of the firm areas with base on the pleura?
test_0608,What is present?
test_0025,What is the most common histologic pattern?
test_0577,How many glomerulosa does this image show pigment in area of?
test_0629,What is present?
test_0941,What is present?
test_0163,Is microscopic appearance of loss of nuclear polarity b contrasted with normal basal polarity in columnar epithelium a?
test_0636,Where is this?
test_0210,What shows congophilia which under polarising microscopy?
test_0599,What is present ?
test_0626,What does this image show?
test_0886,What does this image show?
test_0273,What was removed for postpartum bleeding?
test_0165,What does higher magnification show in the center?
test_0440,Where does this belong to?
test_0660,What is present?
test_0262,Are the spores present in sporangia as well as are intermingled in the inflammatory cell infiltrate?
test_0611,What are present ?
test_0963,What does this image show?
test_0579,What is present ?
test_0188,Where are the amyloid deposits seen?
test_0485,What is present?
test_0206,Where is diagrammatic representation of three forms of arteriolosclerosis seen?
test_0072,"What demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?"
test_0206,What is seen in hypertension?
test_0628,What are present?
test_0197,What does microscopy of intestine show?
test_0578,How many side does this image show nice photo of parotid on with tumor capsule and obvious invasive tumor?
test_0969,What does this image show?
test_0011,What shows marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?
test_0475,Where is this area in the body?
test_0465,What is present?
test_0761,What is present ?
test_0153,What is also seen in the photomicrograph?
test_0418,Where is this?
test_0534,What is present?
test_0862,What is present ?
test_0022,What is delineated from the residual normocellular gland on the upper right in this low-power view?
test_0378,What is present?
test_0060,What show periglomerular fibrosis?
test_0764,How does this image show typical cells?
test_0252,What does infarcted area show?
test_0888,What is rocky mountain spotted?
test_0449,Where does this belong to?
test_0845,What does this image show?
test_0012,What have features of both syncytial and fibroblastic type and form whorled appearance?
test_0420,What does this image show?
test_0470,What does this image show?
test_0859,What is present?
test_0698,What is present?
test_0833,Where is this?
test_0868,"How does this image show heart, old myocardial infarction?"
test_0241,Do large clusters of fibers appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?
test_0766,What is present?
test_0882,Where is this?
test_0925,What does this image show?
test_0441,What is present ?
test_0741,What is present ?
test_0067,Are a few mitotic figures also seen?
test_0134,"What does the particle have containing proteins, p24 and p18, two strands of viral rna, and enzyme reverse transcriptase?"
test_0183,"There is wiping out of liver lobules with only collapsed reticulin framework left out in whose place , high lighted by reticulin stain right photomicrograph ?"
test_0385,What is right side atresia left?
test_0593,How is the excellent uterus in picture and thus illustrates the very large size of the  tumor?
test_0593,Where does this belong to?
test_0878,What is present?
test_0230,What is mechanisms involved in?
test_0945,What does this image show?
test_0221,"What is entrapped in a dense,  onion-skin concentric scar?"
test_0580,Where is this part in the figure?
test_0162,What is fibrous dysplasia composed of?
test_0589,What is not diagnostic ?
test_0747,What is present?
test_0182,Where is the specimen of small intestine shown?
test_0865,What is present ?
test_0384,What does this image show?
test_0057,"What shows crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?"
test_0849,What is present ?
test_0840,Where is this?
test_0746,What does this image show?
test_0829,Where is this?
test_0457,What does this image show?
test_0829,What does this image show?
test_0224,Are numbers in the illustrations involved in pathogenesis of two main types of diabetes mellitus?
test_0278,Are glomeruli normocellular?
test_0697,What is present?
test_0382,What does this image show?
test_0414,Where is this?
test_0966,What is present ?
test_0608,What is present ?
test_0915,What is present?
test_0560,What is present ?
test_0179,What are hundreds of small colonic polyps present along with?
test_0656,What is opened chest with Breast plate removed?
test_0927,What is present ?
test_0151,"What is surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?"
test_0623,What is present?
test_0839,Where is this?
test_0675,Where is this part in?
test_0267,Do adenocarcinoma of the prostate demonstrating small glands tend to be larger at the time of diagnosis than those that secrete a hormone?
test_0172,"Is endoscopy small (700 g),  bile-stained,  soft,  and congested?"
test_0498,What does this image show?
test_0829,What is present?
test_0597,What is this?
test_0380,What does this image show?
test_0368,Where is this?
test_0987,"What is vasculitis , rocky mountain spotted?"
test_0297,Is there acute inflammatory infiltrate at the periphery of the infarct?
test_0849,What does this image show?
test_0308,Where is normal testis seen?
test_0107,What is the circle shown with?
test_0628,What is present?
test_0136,What are the lesions predominantly seen in?
test_0872,What is present?
test_0758,"Why does this image show spleen, chronic congestion?"
test_0235,"Are the tumor cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?"
test_0966,Where is this from?
test_0183,"What is there left out in their place, high lighted by reticulin stain right photomicrograph?"
test_0869,Where is this?
test_0220,What does the mucosa in the infarcted area show?
test_0857,What is present ?
test_0484,What is present?
test_0600,What is present ?
test_0061,How are spiral-shaped Helicobacter pylori bacilli?
test_0865,What is present?
test_0890,What does this image show?
test_0278,What are diffusely thickened due to duplication of the GBM?
test_0233,What are the deposits while the periphery shows healed granulomas?
test_0915,What show well?
test_0182,What does luminal surface of longitudinal cut section show?
test_0449,What is present ?
test_0176,What is Stanford type B limited to?
test_0066,What shows circumscribed?
test_0279,"What was present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis (center of field)?"
test_0059,What has reniform contour?
test_0974,What is present?
test_0160,What is diffuse hyperplasia of the adrenal gland contrasted with?
test_0579,Where is this part in the figure?
test_0961,What does this image show?
test_0474,Where is this from?
test_0259,"What is consistented with the blastemal component and interspersed primitive tubules,  representing the epithelial component?"
test_0612,What is present ?
test_0156,What are the location of vegetations on mitral valve shown as?
test_0744,What is present?
test_0207,Where are areas of chalky necrosis present?
test_0477,What is present ?
test_0182,How does luminal surface of longitudinal cut section show segment of thickened wall?
test_0012,Do the cells have features of both syncytial and fibroblastic type and form whorled appearance?
test_0236,Do spurs of epidermal cells migrate along the incised margin on either side as well as around the suture track?
test_0861,What is present?
test_0513,What is embryo-fetus ?
test_0220,What is also partly affected?
test_0678,What is present ?
test_0064,What are large parts of the lung parenchyma replaced by?
test_0183,Where is there?
test_0638,Where is this?
test_0581,What is present?
test_0554,What does this image show?
test_0753,What is present?
test_0156,What shows tiny firm granular vegetations?
test_0050,Where are abscesses present?
test_0847,What is present of Kidneys?
test_0461,Where does this belong to?
test_0866,What does this image show?
test_0280,What is accompanied with late precursors of myeloid series?
test_0445,Where does this belong to?
test_0504,What is present?
test_0635,Where is this?
test_0494,What does this image show?
test_0557,What is present?
test_0195,What shows several multinucleate giant cells?
test_0005,What is there in terminal ducts?
test_0577,What is present ?
test_0924,What is present ?
test_0567,What is present ?
test_0360,Do silver stain?
test_0308,What is seen on the right?
test_0915,What is off?
test_0088,"What is there, especially around small blood vessels in the interstitium?"
test_0064,"What are replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?"
test_0286,What is composed of fibrous plaques?
test_0009,What is tumor composed of?
test_0867,"What is congestive heart failure , left?"
test_0541,Where is this?
test_0416,Where is this?
test_0593,What is in picture and thus illustrates the very large size of the ovarian tumor ?
test_0275,"How is the number there of malignant cells scattered singly or in small clusters having characteristic cytoplasmic vacuoles, nuclear hyperchromasia and prominent nucleoli?"
test_0737,What is present?
test_0173,What are nuclei also enlarged with?
test_0893,Where is this?
test_0467,"Does lymphangiomatosis show cervix, squamous metaplasia?"
test_0830,What does this image show?
test_0682,What is this?
test_0249,Are a few abortive tubules and poorlyformed glomerular structures present in it?
test_0419,What is present?
test_0225,Do the tubular epithelial cells show granular debris?
test_0574,What is present?
test_0868,What does this image show?
test_0551,Where is this?
test_0767,What died of viral pneumonia likely to have been influenzae ?
test_0466,What is present?
test_0106,What is expanded externally due to a gelatinous tumour?
test_0978,What is present ?
test_0105,Do the alveolar walls expand further causing necrosis of the cortex called sequestrum?
test_0888,"What spotted fever, vasculitis?"
test_0197,What shows stricture and a lymph node in section having caseation necrosiss?
test_0677,What is present?
test_0976,What is present?
test_0384,How do lateral view of infants head showing  lesion ?
test_0028,What shows an outpouching which on section is seen communicating with the intestinal lumen?
test_0188,Where are the deposits producing atrophic tubules present?
test_0311,The hyperplastic follicles contain abundant pink colloid within whose lumina ?
test_0657,What does this image show?
test_0282,What are pale?
test_0267,What tend to be larger at the time of diagnosis than those that secrete a hormone?
test_0593,What is in picture and thus illustrates the very large size of the ovarian tumor?
test_0809,What is present?
test_0123,How many layers does microscopy show?
test_0493,What is present ?
test_0245,What is composed of sheets of small round cells with small amounts of clear cytoplasm?
test_0236,Where is inflammatory response from?
test_0267,What do nonfunctioning adenomas tend to be?
test_0267,Do nonfunctioning adenomas tend to be larger at the time of diagnosis than those that secrete a hormone?
test_0674,Where is this part in?
test_0369,"How does this image show lung, sarcoidosis, multinucleated giant cells?"
test_0241,Do portal tracts and the periportal parenchyma appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?
test_0116,What does the stratum corneum around the hair follicle show?
test_0388,What looks more like a gunshot wound?
test_0975,What is present ?
test_0733,Where is this from?
test_0490,What is present ?
test_0969,What is present ?
test_0699,What does this image show?
test_0204,What do teased fiber preparations allow for?
test_0898,Where is this?
test_0107,What represents cell cycle for labile cells?
test_0949,What is present ?
test_0860,What is present?
test_0001,What is composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?
test_0847,What does this image show?
test_0987,Does natural color show vasculitis?
test_0242,What does Cut surface show?
test_0160,What were diffusely hyperplastic?
test_0294,What shows koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?
test_0457,What is present ?
test_0964,What is present?
test_0764,What is present?
test_0614,What are present ?
test_0199,What is mild degree of liver cell necrosis seen as?
test_0170,"What shows concentric lamellae along with osteocytic lacunae surrounding central blood vessels, while the trabecular bone forming the marrow space shows trabeculae with osteoclastic activity at the margins?"
test_0544,What does this image show?
test_0443,What does this image show?
test_0499,What is present?
test_0949,What is present?
test_0731,What is present?
test_0561,What is present?
test_0620,What are present ?
test_0308,What is involved by an abscess?
test_0765,What is present ?
test_0373,"How many antitrypsin was talc used to sclerose emphysematous lung, alpha-deficiency?"
test_0312,What is the  poorly cohesive tumor in the retina seen abutting?
test_0356,Where is this?
test_0627,What does this image show?
test_0372,What stain?
test_0281,What are many thick-walled dilated cavities with?
test_0040,What are filled with a characteristic foamy acellular exudate?
test_0831,Does this image show close-up photo quite good?
test_0287,What shows a very large multilocular cyst without papillae?
test_0484,What is present ?
test_0764,What does this image show?
test_0582,What is present?
test_0755,What is typical atrophy associated?
test_0225,Does the interface between viable and non-viable area show non-specific chronic inflammation and proliferating vessels?
test_0594,What is present ?
test_0105,What is there of reactive woven bone formation by the periosteum?
test_0578,What is present ?
test_0486,What is present ?
test_0759,What is present?
test_0389,What is present ?
test_0650,Where is this?
test_0736,What does this image show?
test_0678,What is present?
test_0474,What is present ?
test_0151,How is aneurysmal bone cyst with blood-filled cystic space surrounded?
test_0924,What is present?
test_0617,What is present?
test_0973,What is present?
test_0458,What is present ?
test_0601,What is present ?
test_0142,What is infiltrated by chronic inflammatory cells?
test_0682,What is present ?
test_0963,What is present?
test_0866,What is present ?
test_0752,How are organisms easily ?
test_0156,B irregularly scarred mitral valve leaving a fish-mouth or buttonhole opening between whose two cusps black arrow ?
test_0741,What is present?
test_0590,What demonstrated ?
test_0476,What is present ?
test_0052,Metastatic lesions are distinguished grossly from most primary central nervous system tumors by whose multicentricity and well-demarcated margins ?
test_0241,What appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?
test_0234,What entraps native lamellar bone as a confluent mass of cartilage?
test_0746,What is present?
test_0160,What is yellow and thickened?
test_0295,What is glioblastoma?
test_0592,What does this image show?
test_0122,"What is showing increased eosinophilia of cytoplasm,  and swelling of occasional cells?"
test_0603,What is present ?
test_0872,What is present ?
test_0510,What is present ?
test_0578,What does this image show?
test_0528,What is present?
test_0629,What are present?
test_0866,Where is this?
test_0437,How much week gestation gram infant lesion had ruptured causing 20 ml hemoperitoneum?
test_0623,What are present ?
test_0233,What does the periphery show?
test_0460,What is present?
test_0690,What is present?
test_0908,What do saggital section typical but probably breast lesion?
test_0464,What is present ?
test_0611,What appear clubbed?
test_0696,What does this image show?
test_0359,What is present?
test_0953,What is present?
test_0024,What does the tumour show?
test_0439,What is present ?
test_0564,What is present?
test_0753,What does this image show?
test_0462,Where is this from?
test_0687,What is present?
test_0076,What are also seen?
test_0971,What does this image show?
test_0471,What is present?
test_0388,What does this look?
test_0069,Do the squamous cells show superficial invasive islands of malignant cells in the subepithelial soft tissues?
test_0727,What is present?
test_0235,"What are strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?"
test_0558,What is present ?
test_0249,Is infarcted area predominance of small round to spindled sarcomatoid tumour cells?
test_0654,Where is this?
test_0387,What is present ?
test_0624,What are present?
test_0181,"What is dilated,  reflecting long-standing valvular insufficiency and volume overload?"
test_0752,What are easily evident?
test_0481,What shows cut surface with fish flesh appearance and extensive necrosis very good for illustrating appearance of a sarcoma ?
test_0738,What is present?
test_0479,How is nodular tumor cut surface  color yellow and white typical gross sarcoma ?
test_0841,What does this image show?
test_0988,Where is this from?
test_0589,What is present ?
test_0187,What does high-power view of another region show?
test_0733,What is present?
test_0148,What is an area of central necrosis surrounded by?
test_0187,What is not seen in this section?
test_0220,What shows coagulative necrosis and submucosal haemorrhages?
test_0182,What shows segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?
test_0199,Are the tiny silica particles indicative of more severe liver cell injury?
test_0067,What are also seen?
test_0156,What are shown as seen from the left ventricular surface?
test_0597,What is present?
test_0975,Where is this from?
test_0128,"What has inflammatory cell infiltrate, newly formed blood vessels and young fibrous tissue in loose matrix?"
test_0848,What is this to illustrate this case externally ?
test_0739,What is present?
test_0212,What are the tumor cells positive for?
test_0575,What does this image show?
test_0541,What does this image show?
test_0162,What is composed of curvilinear trabeculae of woven bone that lack conspicuous osteoblastic rimming and arise in a background of fibrous tissue?
test_0465,Where is this from?
test_0848,What does this image show?
test_0123,What does microscopy show?
test_0560,What does this image show?
test_0856,What is present ?
test_0456,What does this image show?
test_0874,What is present?
test_0850,What is present?
test_0675,What does this image show?
test_0614,What is present?
test_0492,Where is this mage from?
test_0014,"What is identified by homogeneous, eosinophilic cytoplasm?"
test_0597,What is this ?
test_0163,How is microscopic appearance of loss of nuclear polarity contrasted ?
test_0749,What is ?
test_0562,What is present ?
test_0372,What is present?
test_0845,What is present?
test_0601,How many myomas does this image show opened uterus with quite typical?
test_0870,Where is this?
test_0617,What are present?
test_0681,What is present?
test_0382,What is present ?
test_0464,Where is this from?
test_0066,What shows a separate encapsulated gelatinous mass?
test_0756,What is present?
test_0678,What does this image show?
test_0100,Are the extensive subcutaneous fibrosis shown on the right in this four-chamber view of the heart?
test_0307,What does this produce?
test_0241,Do remission of demyelinating disease appear that share the same fiber type (fiber type grouping) ?
test_0749,Does atrophy secondary to pituitectomy show good example can tell even at this what the tumor is?
test_0628,What is very good example of focal necrotizing lesions in distal portion of digit associated?
test_0767,What does this image show?
test_0236,What migrate along the incised margin on either side as well as around the suture track?
test_0854,What is present?
test_0372,"How many antitrypsin was talc used to sclerose emphysematous lung, alpha-deficiency?"
test_0957,What is present?
test_0501,What is present?
test_0423,What does this image show?
test_0494,What is present?
test_0503,Where does this belong to?
test_0586,What is present ?
test_0972,What is present?
test_0676,What is present?
test_0387,What does this image show?
test_0093,What form a poorly defined nodule?
test_0365,Where is this?
test_0747,What does this image show?
test_0242,What does the breast show?
test_0572,What is present?
test_0625,What are present?
test_0489,What is present?
test_0864,What does this image show?
test_0763,What is present ?
test_0572,What does this image show?
test_0219,What does the subcutaneous tissue show?
test_0442,Where does this belong to?
test_0197,What does the lumen show ?
test_0882,What does this image show?
test_0176,What is limited to descending aorta?
test_0153,What is a giant cell with inclusions seen in?
test_0363,Where is this?
test_0525,What is present?
test_0587,What does this image show?
test_0729,What does this image show?
test_0482,What is present?
test_0063,What are distended?
test_0644,What does this image show?
test_0652,Where is this?
test_0913,How does this image show close-up of muscle?
test_0540,What does this image show?
test_0983,What does this image show?
test_0753,What is present ?
test_0285,What is there in the number of layers of epithelium?
test_0871,What is present ?
test_0547,What does this image show?
test_0231,"What does c, x-ray crystallography and infra-red spectroscopy show?"
test_0767,What is present ?
test_0386,What is very good example associated?
test_0231,What is each fibril further composed of?
test_0425,Where is this?
test_0566,What is present ?
test_0236,What are filled with blood clot?
test_0596,What is present?
test_0659,Where is this?
test_0254,What aspirate shows micronormoblastic erythropoiesis?
test_0134,"What is studded with 2 viral glycoproteins, gp120 and gp41, in the positions shown?"
test_0487,What is present ?
test_0504,What ingested as suicide attempt ?
test_0970,What does this image show?
test_0765,What is present?
test_0567,What does this image show?
test_0597,What was in the stomach this is true bilateral krukenberg ?
test_0470,What is present ?
test_0250,"What are characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?"
test_0447,What is present?
test_0297,Do renal tubules and glomeruli show typical coagulative necrosis?
test_0739,What is present ?
test_0755,What is present?
test_0768,What is present?
test_0157,What are there?
test_0567,Where is this part in the figure?
test_0381,What is easily seen ?
test_0685,What is present ?
test_0881,What does this image show?
test_0943,What does this image show?
test_0613,What are present ?
test_0176,What only includes DeBakey 's type I and II?
test_0614,Does mucoepidermoid carcinoma show good close-up of gangrene?
test_0867,What left ventricular dilatation ?
test_0500,What does this image show?
test_0763,What is present?
test_0065,Are the nuclei dilated and congested?
test_0758,What is present ?
test_0173,How are the myocardial muscle fibres?
test_0743,What is present ?
test_0233,What are basophilic granular while the periphery shows healed granulomas?
test_0439,What is present?
test_0857,What is present?
test_0461,What is 70yof had?
test_0878,What is present ?
test_0688,How does this image show sectioned vertebrae?
test_0307,What produces a circulating subpopulation of hyperspheroidal spherocytes while splenic macrophages in large numbers phagocytose defective red cells causing splenomegaly?
test_0950,What illustrates organisms granulomatous prostatitis aids case?
test_0065,Are the sinuses dilated and congested?
test_0968,What is present ?
test_0982,Where is this from?
test_0358,What does this image show?
test_0941,What is present ?
test_0621,Are external view of gland with knife cuts into parenchyma hemorrhage present?
test_0847,How many digits do a barely seen vascular mass extruding from occipital region of skull arms and legs appear too short has?
