image,question
test_0541,Does this myoma show obviously greatly swollen and pale kidney?
test_0900,Does interstitial cell tumor show panniculitis and fascitis?
test_0841,Does yellow color show thermal burn?
test_0287,Does the cyst wall show presence of loculi containing gelatinous mucoid material?
test_0496,Is carcinoma present?
test_0372,"Does this person show pleura, talc reaction?"
test_0458,Is adrenal present?
test_0212,Are the tumor cells positive for the stem cell marker CD34 and the myeloid lineage specific markers CD33 and CD15 subset?
test_0973,Does this image show saphenous vein graft sclerosis?
test_0253,Are apoptotic cells in colonic epithelium shown?
test_0739,Is gastrointestinal present?
test_0499,"Does leg show small intestine, typhoid?"
test_0659,Is mesentery present?
test_0616,Is myocardial infarct present?
test_0242,Does the inner circle shown with green line show a grey white firm tumour extending irregularly into adjacent breast parenchyma?
test_0656,Is tuberculosis present?
test_0859,Does this image show postmortangiogram of coronary arteries?
test_0974,Is vasculature present?
test_0225,Does the affected area on right show cells with intensely eosinophilic cytoplasm of tubular cells?
test_0463,Does this image show lymphocytic infiltrate on peritoneal surface?
test_0977,"Does this image show heart, old myocardial infarction with fibrosis, he?"
test_0686,Is glioma present?
test_0984,Was this section taken?
test_0081,Does the renal glomerulus show markedly thickend glomerular basement membrane in a diabetic?
test_0863,Does this image show normal cardiovascular?
test_0458,Is close-up tumor shown well?
test_0032,"Did microscopic appearance of medulloblastoma show mostly small,  blue,  primitive-appearing tumor cells?"
test_0679,Is granulomata slide present?
test_0509,"Does lesion in dome of uterus show sigmoid colon, diverticulosis and polyp?"
test_0469,Is fibrotic lesion present?
test_0088,"Is an intimal patchy myocardial fibrosis, especially around small blood vessels in the interstitium?"
test_0676,Is carcinoma metastatic lung present?
test_0182,"Does aboratory findings of itp show increased mesenteric fat, thickened wall and narrow lumen?"
test_0845,Does mesothelioma show posterior view of body lesions mostly in head neck and thorax?
test_0228,Does the margin of infracted area show uniform cells having high mitotic rate?
test_0753,Is bone marrow present?
test_0894,Is this good yellow color slide present?
test_0754,Is typical tuberculous exudate present?
test_0867,Is cardiovascular present?
test_0743,Does intrauterine contraceptive device show trophozoites in tissue?
test_0768,Is tuberculosis present?
test_0732,"Does notochord show appendix, normal histology?"
test_0858,Does this image show body burns 24 hours prior now anasarca?
test_0860,Is lower chest and abdomen anterior present?
test_0534,Is this section present?
test_0236,Does formation of granulation tissue begin from below?
test_0886,Does this image show normal duct in postmenopausal woman?
test_0949,Does normal ovary show normal liver?
test_0202,Are numerous friable mural thrombi super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?
test_0282,Are two daughter cells distended with cytoplasmic vacuoles while the interstitial vasculature is compressed?
test_0210,Is apple-green birefringence shown in this figure?
test_0567,Is endocrine present?
test_0546,Is ischemia newborn present?
test_0512,Is gastrointestinal present?
test_0422,Is respiratory present?
test_0294,Does electron microscopy show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?
test_0673,Is stillborn macerated present?
test_0010,"Is the nuclei of affected tubules soft, lobulated, yellowish and greasy?"
test_0308,Is bowing of legs caused by gonococcal infection?
test_0677,Is thymus present?
test_0587,Is uterus present?
test_0975,"Does peritoneal fluid show acute inflammation, rolling leukocytes polymorphonuclear neutrophils?"
test_0500,Is gastrointestinal present?
test_0278,Are layers of squamous epithelium diffusely thickened due to duplication of the GBM?
test_0561,Does this image show parathyroid adenoma?
test_0597,Is ovary present?
test_0501,"Does this image show colon, ulcerative colitis, mucosal detail?"
test_0452,Is mesentery present?
test_0532,Does arcus senilis show nice example lymphocyte depleted medullary area?
test_0182,Does the corresponding area show segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?
test_0469,Does this image show shows early placental development?
test_0591,Does this image show sectioned uterus shown close-up with typical small myomas very good?
test_0595,Is carcinoma metastatic lung present?
test_0696,Does this image show pancreatic fat necrosis?
test_0480,How does opened muscle psoa natural color large ovoid  sarcoma ?
test_0107,Does amyloid represent cell cycle for labile cells?
test_0169,Is there hyperkeratosis and follicular plugging?
test_0368,Is respiratory present?
test_0753,Is endocervical polyp present?
test_0595,Is acrocyanosis present?
test_0142,Is a subnodule infiltrated by chronic inflammatory cells?
test_0571,Is pus in test tube present?
test_0587,Does lesion of myocytolysis show fixed tissue saggital section of organ with bosselated myoma?
test_0454,Is endocrine present?
test_0386,Is lesion of myocytolysis present?
test_0512,Is spina bifida present?
test_0888,Does this image show skin?
test_0978,Does this image show atherosclerosis?
test_0361,Is respiratory present?
test_0685,Is miliary tuberculosis present?
test_0844,Is opened dysmorphic body with all organs except kidneys removed shows size of organs quite well and renal facies?
test_0484,Is capillary present?
test_0459,Is adrenal present?
test_0940,"Does krukenberg tumor show liver, macronodular cirrhosis, hcv?"
test_0170,Does the trabecular bone forming the marrow space show trabeculae with osteoclastic activity at the margins?
test_0160,Is a subtle nodularity evident?
test_0098,Do the white circles stain?
test_0568,Is cortical nodule present?
test_0443,Is carcinoma present?
test_0600,Is ovary present?
test_0965,Is cardiovascular present?
test_0490,Does omphalocele show sarcoplasmic reticulum?
test_0768,Is hand present?
test_0316,Is an arteriole markedly thickened?
test_0007,Are inflammatory changes conspicuously absent?
test_0447,Is endocrine present?
test_0191,Does epithelial crowding produce a serrated architecture when glands are cut in cross-section?
test_0673,Is thymus present?
test_0766,Is abdomen present?
test_0676,Is traumatic rupture present?
test_0181,Is the left ventricle shown on the right in this four-chamber view?
test_0732,Is gastrointestinal present?
test_0155,Does gross examination of a resected sigmoid colon show regularly spaced stool-filled diverticulae?
test_0249,What is there of small round to spindled sarcomatoid tumour cells?
test_0912,Is this image shows wrights typical present?
test_0627,Does feet show good example source of gout?
test_0861,Is vasculature present?
test_0539,How does this image show external view?
test_0179,Are immature myeloid cells present along with a dominant polyp (right)?
test_0107,Does the particle represent cell cycle for stable cells?
test_0182,Does luminal surface of longitudinal cut section show segment of thickened wall with narrow lumen which is better appreciated in cross section while intervening areas of the bowel are uninvolved or skipped?
test_0810,Is node metastases present?
test_0197,Does the deposits show characteristic transverse ulcers and two strictures?
test_0106,Is the basal layer expanded externally due to a gelatinous tumour?
test_0188,"Does amyloid cast in the tubular lumina, and in the arterial wall producing luminal narrowing?"
test_0683,Is metastatic carcinoma colon present?
test_0738,"Does silver show oral dysplasia, neu?"
test_0256,"Did the high-power view of the junction of the fibrous cap and core show scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?"
test_0741,Is intestine present?
test_0575,Has outside adrenal capsule section folds?
test_0419,Is respiratory present?
test_0233,Are the deposits basophilic granular while the periphery shows healed granulomas?
test_0160,"Was the abnormal gland from a patient with ACTH-dependent Cushing syndrome,  in whom both adrenal glands were diffusely hyperplastic?"
test_0011,Does the centrilobular zone show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?
test_0278,Are the capillary walls diffusely thickened due to duplication of the GBM?
test_0485,Is cardiovascular present?
test_0059,Does mucicarmine show a large and tan mass while rest of the kidney has reniform contour?
test_0249,Is diagrammatic representation of pathologic changes in chronic hepatitis present in it?
test_0057,"Does the peripheral zone show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?"
test_0905,Does this image show sectioned femur lesion is distal end excellent example?
test_0481,Is leiomyosarcoma present?
test_0445,Is endocrine present?
test_0623,Are extremities present?
test_0757,Is multiple myeloma present?
test_0590,Is conjoined twins present?
test_0861,What is present ?
test_0130,Does the injurious stimulus illustrate the invasion of breast stroma and fat by nests and cords of tumor cells?
test_0561,Is endocrine present?
test_0896,Does this photo of infant from head to toe show thermal burned skin?
test_0571,Is history present?
test_0617,Is foot present?
test_0589,Is ovary present?
test_0308,Is this in turn involved by an abscess?
test_0876,Is cardiovascular present?
test_0097,Is the transmural light area in the posterolateral left ventricle caused by streptococcus viridans on a previously myxomatous mitral valve?
test_0903,"Does this image show skin, petechial hemorrhages from patient with meningococcemia?"
test_0583,"Does this image show uterus, leiomyomas?"
test_0534,Is antitrypsin present?
test_0471,Is yellow color present?
test_0544,Does this image show kidneys in situ with other organs removed dramatic demonstration of size of kidneys?
test_0381,Is premature coronary disease easily seen?
test_0236,When does removal of suture result in?
test_0982,Is vasculature present?
test_0749,Is lesion in dome of uterus present?
test_0833,Does amebiasis show close-up photo very good?
test_0840,Does this image show cryptococcal dematitis?
test_0156,"Does a, the pink acellular amyloid material show tiny firm granular vegetations?"
test_0176,Is mucicarmine limited to descending aorta?
test_0502,"Does close-up of lesion show colon, amebic colitis?"
test_0511,Does this image show esophageal varices due to alcoholic cirrhosis?
test_0211,Did apoptosis stain red-pink Congophilia?
test_0756,Is hematologic present?
test_0587,Is this section present?
test_0172,"What is small (700 g),  bile-stained,  soft,  and congested?"
test_0609,Is very good example present?
test_0197,Does a few fibre cells and caudate cells show caseating epithelioid cell granulomas in the intestinal wall?
test_0475,Is peritoneum present?
test_0619,Are extremities present?
test_0743,Is colon present?
test_0231,Does p-component have a pentagonal or doughnut profile?
test_0087,Is plexiform lesion characteristic of advanced pulmonary hypertension seen in small arteries?
test_0563,"Does this image show adrenal, polyarteritis nodosa with infarct?"
test_0598,Is cervical leiomyoma present?
test_0585,Is foot present?
test_0157,"Are there alternate areas of collapsed and dilated alveolar spaces, many of which are lined by eosinophilic hyaline membranes?"
test_0468,Is female reproductive present?
test_0381,Is ear lobe horizontal crease present?
test_0875,"Does this image show heart, myocardial infarction free wall, 6 days old, in a patient with diabetes mellitus and hypertension?"
test_0586,Does hand show opened uterus with polypoid mass?
test_0452,Is adrenal present?
test_0832,"Does larynx show skin, neurofibromatosis?"
test_0065,"Is there increased fibrosis in the red pulp, capsule and the trabeculae?"
test_0372,"Does this image show pleura, talc reaction?"
test_0546,Is this typical thecoma with yellow foci present?
test_0220,Is peripheral blood in itp marked at the line of demarcation between the infarcted and normal bowel?
test_0574,Does this image show iron stain?
test_0677,Is ovary invaded by the tumor?
test_0080,Does the greenish discoloration not occur in the absence of appropriate T-cell-mediated immunity?
test_0364,Is respiratory present?
test_0359,"Does fibrinous peritonitis show lung, congestive heart failure, bone marrow embolus?"
test_0599,Does this image show massive lesion taken at surgery size of basketball very good?
test_0690,Is normal ovary present?
test_0568,Is metastatic carcinoma present?
test_0553,Does this image show herpes zoster?
test_0547,"Does lung show kidney, renal papillary necrosis, acute?"
test_0246,Is approximately 50 % of the soft tissue of the bone subepithelial and subserosal fibrosis and hypertrophy of muscularis?
test_0373,Is respiratory present?
test_0362,"Does this image show lung, cryptococcal pneumonia?"
test_0213,Is weight of the heart increased?
test_0234,Does the surrounding lung entrap native lamellar bone as a confluent mass of cartilage?
test_0600,Is fibroma present?
test_0255,Is mycobacterium avium infection in a duodenal biopsy from a patient with aids uninvolved?
test_0417,Is respiratory present?
test_0181,Is there prominent hooding with prolapse of the posterior mitral leaflet into the left atrium?
test_0375,Does cytomegalovirus show external view bilateral cleft palate?
test_0225,Does necrosis show cells with intensely eosinophilic cytoplasm of tubular cells?
test_0130,Does the microscopic view of breast carcinoma illustrate the invasion of breast stroma and fat by nests and cords of tumor cells?
test_0009,Is sectioning of ovary composed of nests of basaloid cells infiltrating a fibrotic stroma?
test_0176,Does esions include includes DeBakey 's type I and II?
test_0647,Is spinal column present?
test_0379,Is malformed base present?
test_0861,Is retroperitoneum present?
test_0069,"Is there keratosis, irregular stratification, cellular pleomorphism, increased and abnormal mitotic figures and individual cell keratinisation, while a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?"
test_0587,Is female reproductive present?
test_0926,Does this image show normal liver?
test_0183,"Is an asbestos body wiping out of liver lobules with only collapsed reticulin framework left out in their place, high lighted by reticulin stain right photomicrograph?"
test_0748,Is hypertrophic gastritis present?
test_0766,Does this image show wrights?
test_0294,Does the smear show koilocytes having abundant vacuolated cytoplasm and nuclear enlargement ?
test_0745,Does cytomegaly show med pas hematoxylin excellent demonstration source?
test_0911,Does this image show in situ close-up well shown?
test_0566,"Does this image show thyroid, follicular ademona?"
test_0297,Does sequence of events in the pathogenesis of reversible and irreversible cell injury show typical coagulative necrosis ie?
test_0220,Is muscularis also partly affected?
test_0492,Is vasculature present?
test_0187,"Does the injurious stimulus show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?"
test_0063,Are the chambers distended?
test_0754,Is blood present?
test_0739,Is hemochromatosis present?
test_0471,Is female reproductive present?
test_0586,Is mixed mesodermal tumor present?
test_0188,Is p-component also present in peritubular connective tissue producing atrophic tubules?
test_0735,Is gastrointestinal present?
test_0489,Does this image show fibroblasts in adventitia of monkey basilar artery?
test_0494,Is beckwith-wiedemann syndrome present?
test_0024,Does the tumour show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?
test_0107,Does the circle shown with red line represent cell cycle for permanent cells?
test_0107,Does the inner circle shown with green line represent cell cycle for labile cells?
test_0630,Does beckwith-wiedemann syndrome show gangrene both hands due to embolism case of av canal with downs syndrome?
test_0842,Do thermal burn?
test_0116,Does the smear show presence of numerous arthrospores and hyphae?
test_0274,"Is predominance of blastemal morphology and diffuse anaplasia characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?"
test_0280,Are the mature red cells higher as demonstrated by this cytochemical stain?
test_0833,Is petechiae present?
test_0014,Does Apoptosis consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?
test_0062,"Are 3 components: ghon 's focus, lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?"
test_0242,"Does 2,3-bpg and co2 show a tumour extending up to nipple and areola?"
test_0678,Is stomach present?
test_0744,Is colon present?
test_0738,Is gastrointestinal present?
test_0972,Is Heart present?
test_0808,Is metastatic melanoma present?
test_0688,Is bone marrow present?
test_0598,Is female reproductive present?
test_0579,Is normal immature infant present?
test_0448,"Does this image show adrenal, cortical adenoma?"
test_0981,Is this typical lesion present?
test_0173,Are nuclei also enlarged with irregular outlines?
test_0220,Does the mucosa in the infarcted area show coagulative necrosis and submucosal haemorrhages?
test_0446,"Does this image show adrenal gland, cortical nodular hyperplasia?"
test_0544,Does larynx show kidneys in situ with other organs removed dramatic demonstration of size of kidneys?
test_0745,Is intraductal papillomatosis present?
test_0519,"Does this image show lymph node, lymphoma?"
test_0220,Is Ziehl-Neelsen also partly affected?
test_0452,Is carcinoma metastatic lung present?
test_0199,"Is normal non-activated platelet, having open canalicular system and the cytoplasmic organelles seen as ballooning degeneration while acidophilic councilman bodies are indicative of more severe liver cell injury?"
test_0080,Does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show massive intracellular macrophage infection with acid-fast organisms filamentous and pink in this acid-fast stain preparation?
test_0910,Is quite good liver present?
test_0950,Is pneumocystis present?
test_0702,Is a barely seen vascular mass extruding from occipital region of skull arms and legs present?
test_0730,Does this image show tunica propria granulomas?
test_0979,Is this typical lesion present?
test_0677,Is the superior vena cava invaded by the tumor?
test_0658,Is intestine present?
test_0580,Is endocrine present?
test_0745,Is myoma lesion present?
test_0829,Is necrotic and ulcerated centers present?
test_0589,Is vasculature not diagnostic?
test_0584,Does this image show vaginal herpes?
test_0099,Are the principal cellular alterations that characterize reversible cell injury and necrosis illustrated?
test_0088,"Is there patchy myocardial fibrosis, especially around small blood vessels in the interstitium?"
test_0442,"Does peritoneum show thyroid, follicular adenoma?"
test_0504,"Does this image show stomach, necrotizing esophagitis and gastritis, sulfuric acid ingested as suicide attempt?"
test_0475,Is acute peritonitis present?
test_0768,Is hematologic present?
test_0170,"Does Inbox show concentric lamellae along with osteocytic lacunae surrounding central blood vessels, while the trabecular bone forming the marrow space shows trabeculae with osteoclastic activity at the margins?"
test_0175,"Is there perivascular infiltrate of plasma cells, lymphocytes and macrophages?"
test_0384,Is case of dic not bad photo present?
test_0868,Is cardiovascular present?
test_0861,Is amyloidosis present?
test_0420,"Does whipples disease show lung, cystic fibrosis?"
test_0437,Is marfans syndrome present?
test_0681,Is amyloid angiopathy r. endocrine present?
test_0217,Did subsynovial tissue contain a dense lymphoid aggregate?
test_0682,Does this image show i am not sure of diagnosis?
test_0494,Is vasculature present?
test_0105,Is there beginning of reactive woven bone formation by the periosteum?
test_0360,"Does chromophobe adenoma show lung, pneumocystis pneumonia?"
test_0489,Is cardiovascular present?
test_0254,Is there moderate microcytosis and hypochromia?
test_0230,Is mechanisms involved in the pathogenesis of cardiac oedema?
test_0473,Is female reproductive present?
test_0011,Does the periphery show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?
test_0076,Are etastatic carcinomatous deposits in the also seen?
test_0254,Does examination of bone marrow aspirate show micronormoblastic erythropoiesis?
test_0882,Does another fiber other frame show normal aortic valve?
test_0627,Are extremities present?
test_0682,Is thymoma present?
test_0650,Is case of peritonitis slide present?
test_0496,Is breast present?
test_0753,Does serous cyst show med wrights stain many pleomorphic blast cells readily seen?
test_0659,What cut surface?
test_0763,Is lupus erythematosus basophilic bodies and periarterial fibrosis present?
test_0126,Are viral rna genome as well as reverse transcriptase released into the cytosol?
test_0011,Does the vesselwall show mild fatty change of liver cells?
test_0112,Were the adrenal glands grossly hemorrhagic and shrunken at autopsy?
test_0494,Is cardiovascular present?
test_0488,Is coronary artery present?
test_0503,Is cardiovascular present?
test_0682,Is vasculature present?
test_0066,Is pidural haematoma multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?
test_0603,Is Postpartum present?
test_0980,Is fibrinous peritonitis present?
test_0680,Does this image show congested spleen infarct easily seen?
test_0211,Do the lipofuscin pigment granules show apple-green birefringence?
test_0564,"Does this image show pancreas, islet hyalinization, diabetes mellitus?"
test_0496,Does omentum show two nipples?
test_0546,Is gram present?
test_0362,Is postpartum uterus present?
test_0485,"Does this image show chagas disease, acute, trypanasoma cruzi?"
test_0415,"Does this image show lung, emphysema and bronchial hemorrhage, alpha-1 antitrypsin deficiency?"
test_0681,Does pus in test tube show external view with several tears in capsule?
test_0765,Is palmar crease normal present?
test_0689,Is spleen present?
test_0977,Is cardiovascular present?
test_0183,Is there no significant inflammation or fibrosis?
test_0134,"Is bilayer lipid membrane studded with 2 viral glycoproteins, gp120 and gp41, in the positions shown?"
test_0239,"Is the immediate reaction characterized by an inflammatory infiltrate rich in eosinophils,  neutrophils,  and T cells?"
test_0254,Is infarcted area moderate microcytosis and hypochromia?
test_0585,Is female reproductive present?
test_0623,Does this image show good example exposure not the best but ok Rheumatoid Arthritis?
test_0755,Is thymus present?
test_0707,Does 70yof stain?
test_0730,Is esophagus present?
test_0755,Is hematologic present?
test_0956,"Does this image show chancroid, smear of bubo?"
test_0197,Is uppurative diseases thickened?
test_0575,Is endocrine present?
test_0482,Is peritoneum present?
test_0028,Does the centres of whorls of smooth muscle and connective tissue contain necrotic debris?
test_0438,Is endocrine present?
test_0539,Does 70yof show external view with capsule stripped?
test_0036,Does Inbox in the right photomicrograph show PAS positive tumour cells in perivascular location?
test_0605,Is leiomyosarcoma present?
test_0601,Is leiomyoma present?
test_0464,Does omentum show sickled maternal cells readily evident?
test_0255,Is part of the vessel uninvolved?
test_0968,Is siamese twins present?
test_0595,Is ovary present?
test_0092,Is section from margin of amoebic ulcer expanded in the region of epiphysis?
test_0581,Is intraductal papillomatosis present?
test_0417,"Does basal skull fracture show lung, emphysema severe with bullae?"
test_0450,Is omentum present?
test_0175,Is there endarteritis and periarteritis of the vasa vasorum in the media and adventitia?
test_0892,Is Demodex Folliculorum present?
test_0744,Does case of peritonitis slide show typical infiltrating adenocarcinoma and normal mucosa?
test_0735,Is peritoneum present?
test_0580,Is leiomyosarcoma present?
test_0697,Is intraductal lesions present?
test_0559,Is cardiovascular present?
test_0225,Are the outline of tubules still maintained?
test_0300,"Do the areas of white chalky deposits remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?"
test_0680,Is the unknown origin in mandible present?
test_0742,Is gastrointestinal present?
test_0978,Is vasculature present?
test_0556,"Does photo show colon, cryptosporidia?"
test_0742,"Does inflamed exocervix show colon, ulcerative colitis?"
test_0748,Is intestine present?
test_0421,"Does this image show lung, asbestosis and mesothelioma?"
test_0009,Is the cleft between the tumor cells and the stroma a highly characteristic artifact of sectioning?
test_0763,Is spleen present?
test_0282,Are the nuclei of affected tubules pale?
test_0014,Do these cells consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?
test_0866,Does this image show amyloidosis?
test_0989,Is vasculature present?
test_0469,Is fetus developing very early present?
test_0123,Does the peripheral zone show a scolex with a row of hooklets?
test_0501,Is gastrointestinal present?
test_0850,Is Anencephaly present?
test_0381,Does this image show body on autopsy table lesion that supposedly predicts premature coronary disease is easily seen?
test_0460,Does this image show fixed tissue but good color gland not recognizable as such?
test_0188,Are apoptosis seen mainly in the glomerular capillary tuft?
test_0160,Is a possible precursor lesion contrasted with a normal adrenal gland?
test_0752,Is bone marrow present?
test_0743,Does this image show trophozoites in tissue?
test_0387,Is carcinomatosis endometrium primary present?
test_0206,Is ziehl-neelsen or afb seen in hypertension?
test_0676,Is sacrococcygeal teratoma present?
test_0449,Is endocrine present?
test_0562,"Does fixed tissue show pituitary, chromaphobe adenoma?"
test_0691,"Does this image show spleen, chronic congestion due to portal hypertension from cirrhosis, hcv?"
test_0531,Is this image shows of smooth muscle cell with lipid in sarcoplasm and lipid present?
test_0881,"Does this image show pericarditis, secondary to mediastanitis from pseudomonas and enterobacter 14 days post op?"
test_0659,Is iron cut surface?
test_0612,Is normal immature infant present?
test_0134,"Does the epidermis have core containing proteins, p24 and p18, two strands of viral rna, and enzyme reverse transcriptase?"
test_0833,Does this image show close-up photo very good?
test_0123,Does icroscopy show three layers in the wall of hydatid cyst?
test_0741,Is fat necrosis present?
test_0231,Does these end components of chromosome have a pentagonal or doughnut profile?
test_0589,Is stillborn cord around neck present?
test_0428,Is respiratory present?
test_0949,Is malignant adenoma present?
test_0252,Does the necrosed area on right side of the field show ghostal veoli filled with blood?
test_0492,Is acid present?
test_0678,Are teeth well shown?
test_0694,Does ulcer with candida infection show normal pancreas?
test_0542,Does hydrocele show prostatic hyperplasia?
test_0197,What shows caseating epithelioid cell granulomas in the intestinal wall?
test_0382,Is basilar skull fracture present?
test_0388,Is basilar skull fracture present?
test_0441,Is this section present?
test_0738,"Does this image show oral dysplasia, neu?"
test_0561,Does photo show parathyroid adenoma?
test_0541,Does this image show obviously greatly swollen and pale kidney?
test_0988,Does this image show vasculitis?
test_0204,"Is endometrioid type,  grade 3,  flanked by nodes of Ranvier?"
test_0878,Is cardiovascular present?
